Postcode,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Count salary and wages,Average salary and wages,Median salary and wages,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Count total business income,Average total business income,Median total business income,Count  total business expenses,Average total business expenses,Median total business expenses,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
4171,10434,99886,61778,8475,87233,64074,2165,-5703,-3433,10434,104292,65268,10434,4264,1054,872,129187,28002,839,75163,10507,8607,37218,17361,12025,179871,63581
4172,2735,62964,51923,2377,63869,54305,419,-5303,-3656,2735,65725,54401,2735,2740,840,192,53286,27662,181,32446,11040,2240,17870,12065,3302,92413,42141
4173,5124,55990,49408,4403,58514,54115,701,-3840,-3748,5124,58310,51416,5124,2295,786,346,59723,31042,338,40855,11908,4179,14666,11010,6119,101406,49709
4174,1528,54488,47667,1329,56546,50892,196,-3756,-2996,1528,56668,49907,1528,2130,754,103,93780,37345,101,70018,18328,1234,14045,10213,1884,78115,41922
4178,14639,57372,47221,12084,59972,52002,2094,-2476,-1834,14639,59826,49178,14639,2413,738,1081,61388,25075,1048,41842,10867,11469,16196,10833,17445,112672,48845
4179,11354,67191,50240,9168,69049,54792,1927,-1779,-1911,11354,69959,52514,11354,2711,748,929,60301,25022,913,35256,10263,8869,21653,12663,13374,141326,61427
4183,1209,46157,34899,854,46443,37912,247,-371,186,1209,48463,37240,1209,2215,483,171,61190,24750,166,43977,11294,841,12624,7677,1480,155198,45225
4184,2520,38529,30400,1635,42309,37402,366,133,-51,2520,40047,31560,2520,1405,300,297,53274,20215,286,42242,11084,1490,10435,6567,3422,85218,25338
4205,2322,45551,42454,1908,48777,47274,197,-2287,-1561,2322,47551,44452,2322,1996,638,161,66555,26737,155,51646,12304,1739,10840,8570,2817,72669,35687
4207,28625,48797,42793,23672,50563,46724,3184,-2861,-2523,28625,51278,44940,28625,2404,701,2139,70615,30000,2083,51392,14125,22050,12316,8697,34617,73956,31245
4208,11197,54169,47204,9357,56860,51592,1402,-3256,-2769,11197,57200,49499,11197,2920,960,921,76614,28638,891,57044,13978,8785,14560,10815,12599,80679,39823
4209,27124,50855,43578,23243,53210,47175,2452,-4305,-3234,27124,53710,45984,27124,2798,942,2282,60046,26765,2193,41784,12229,21166,13158,8976,30555,58932,27034
4210,11666,54142,45118,9491,56562,49475,1618,-3653,-2796,11666,57053,47816,11666,2775,955,1118,71795,29686,1069,44375,12851,9206,14495,9814,13313,81881,36786
4211,35363,50079,41543,28161,51551,45996,4472,-3010,-2252,35363,52847,43970,35363,2708,802,3619,71226,29802,3449,50193,13393,26929,13220,8538,41264,78985,32610
4212,17102,60910,43590,12479,59952,48173,2868,-3605,-2858,17102,64229,46131,17102,3163,677,1444,91402,29468,1391,70697,12800,12763,19605,10473,19029,159179,43645
4213,17245,53627,41466,13144,53867,45254,2602,-2336,-1786,17245,56468,43878,17245,2717,731,1869,73297,31836,1815,49048,12429,12881,15604,9181,19642,101038,39048
4214,22092,49514,40133,17173,51307,44512,2973,-2074,-2033,22092,52118,42459,22092,2535,670,2234,65950,30953,2128,44554,13204,16267,13570,8582,25802,87268,31252
4215,27070,47156,37505,21206,46715,41328,3056,-640,-1524,27070,49574,39422,27070,2356,529,2735,68896,24850,2557,48773,10803,19310,13323,7442,33558,81274,19862
4216,21733,56865,40449,15242,53965,45115,3513,-200,-1251,21733,59994,42752,21733,2910,581,2043,106053,30427,1969,83029,13832,15701,18482,9070,24951,150266,39691
4217,26441,63964,36894,18965,49876,38538,3971,428,-1077,26441,67514,38981,26441,3355,410,2681,99907,26209,2466,74456,11124,18258,25076,8354,32816,142946,17264
4218,21237,58022,41261,15513,53882,44263,3555,-1639,-1383,21237,61695,43701,21237,3479,665,2316,104797,31134,2218,80885,12942,15863,18334,8953,25161,131972,29843
4219,222,52643,39249,150,49973,46434,32,10066,2131,222,55086,41409,222,2371,522,25,44629,28994,26,28676,22178,164,15598,7728,258,62545,25532
4220,19683,53733,41786,14964,54706,46107,3255,-1381,-1598,19683,56718,44330,19683,2897,801,2245,72322,28740,2151,50121,12630,14798,15419,9110,23011,106793,37022
4221,15950,52374,40705,12078,53291,45140,2664,-1984,-1590,15950,55233,42962,15950,2768,820,1823,71641,29269,1753,48980,12768,11874,14878,8834,18674,105452,38731
4223,8637,54454,39990,6313,53336,44181,1491,-1004,-1366,8637,57446,42438,8637,2764,770,1095,81889,30967,1062,57101,12530,6346,16395,8859,10008,127344,43441
4224,3990,53882,41974,3133,52402,44990,574,-2178,-1604,3990,56842,44167,3990,2869,900,482,80077,27946,459,58509,11904,3079,14910,8362,4703,101204,35990
4225,4732,52248,37553,3421,48815,41220,782,-290,-979,4732,55546,39964,4732,3123,635,523,66477,24105,495,40784,11900,3360,15978,7761,5719,144162,29616
4226,20251,50908,40336,15178,52422,44994,2821,-2041,-1792,20251,53646,42681,20251,2640,660,2020,92490,29318,1936,69462,12526,14817,14502,8838,22681,103210,33624
4227,12172,51508,41711,9873,52724,45140,1523,-3253,-2598,12172,54103,43903,12172,2558,774,1280,63745,27916,1234,39753,11862,9218,14101,8764,13760,70850,29483
4228,3340,55555,39839,2374,55329,43323,667,-704,-873,3340,58508,42546,3340,2843,630,458,71491,35139,431,47528,15662,2463,17080,9320,3685,118377,45027
4230,209,62689,45154,144,57224,49780,55,275,-791,209,66570,47258,209,2760,973,23,79861,20262,20,80828,15052,159,18806,10496,241,117477,43215
4270,2339,53865,45000,1817,56475,49583,367,-1588,-1839,2339,56553,47376,2339,2515,722,253,122739,42168,252,99845,18335,1799,14806,10368,2734,90828,44709
4271,897,49714,38381,619,55684,44162,134,-2926,-2625,897,52130,39728,897,2303,600,142,54302,26948,140,34592,12845,636,14719,8442,1185,149531,42598
4272,3364,49118,35818,2122,53798,43878,604,-114,-965,3364,51779,37756,3364,2529,450,468,62700,25897,458,44613,12628,2218,15460,9445,3665,153989,54578
4275,1943,48783,40615,1438,53039,46533,318,-614,-1628,1943,51661,43482,1943,2523,679,241,65881,29568,235,49518,16201,1433,13316,9006,2283,115833,45627
4280,9357,52954,45877,7785,55964,50715,1260,-4181,-3164,9357,55671,48374,9357,2656,845,740,72933,32740,733,53026,17405,7379,13887,10177,10953,80536,43130
4285,10295,47955,41241,8198,51327,46456,1350,-2370,-1846,10295,50589,43334,10295,2425,710,932,73754,30282,910,58550,16428,7615,12768,9006,12075,90675,42440
4287,359,40702,33924,257,44938,39524,50,2421,1386,359,43234,37121,359,1895,368,61,70937,31367,59,67542,26945,240,10164,7178,429,101379,39288
4300,30728,53375,47604,27157,55827,51424,3326,-5032,-3918,30728,55751,49764,30728,2340,841,2020,57953,28457,1943,39341,14014,24612,13725,10358,35414,74410,35684
4301,13975,46079,43139,12368,48537,46843,858,-4436,-2810,13975,48268,45395,13975,2180,720,915,53075,25414,875,38704,12998,10931,10633,8393,16755,56145,24875
4303,1512,42049,39378,1269,45234,44082,102,-3159,-2768,1512,43967,41083,1512,1834,561,95,48542,22742,90,31562,10954,1104,9692,7581,2172,55416,19241
4304,8308,46805,43106,7086,49287,47173,674,-3011,-2135,8308,48900,44946,8308,2081,652,496,63274,26955,489,42896,11512,6383,11170,8632,10418,82274,34027
4305,31511,49728,44844,26864,52766,49149,3276,-3095,-2328,31511,51887,46811,31511,2130,766,1838,58446,24112,1785,40413,12833,24432,12427,9574,38265,96055,41805
4306,20032,55310,47184,16581,58378,52253,3117,-3410,-2541,20032,57855,49629,20032,2440,829,1629,75099,27640,1618,57842,15218,15434,15451,11374,22863,122076,58670
4307,897,51586,40823,684,52192,46552,108,-245,-456,897,54214,43083,897,2251,613,90,83032,34272,94,74487,28261,639,16316,9284,1041,115615,49871
4309,1588,43474,36920,1186,47991,42074,213,230,210,1588,46344,38400,1588,2100,458,177,59979,28448,173,49429,21840,1096,11893,7870,1807,108808,48444
4310,3216,41821,35444,2324,46746,41540,434,360,-85,3216,44104,36926,3216,1850,393,380,85427,31458,377,72584,21190,2188,11064,7623,3632,120042,51826
4311,4718,45806,40288,3737,49513,45865,542,-2333,-1780,4718,48122,41925,4718,2146,600,375,71868,31963,374,59348,21364,3409,12202,8644,5752,75244,34233
4312,1183,44364,36539,833,50153,45887,170,-252,-899,1183,47583,39533,1183,2464,532,127,70209,33283,118,69201,24866,780,12878,8916,1459,123689,46341
4313,983,37748,32710,650,45992,40038,137,-987,-876,983,40421,34947,983,2110,390,154,68690,27050,155,60402,20561,598,10309,7139,1199,105359,38939
4340,2720,44284,38659,2122,51177,46472,330,-1268,-1052,2720,46691,41562,2720,2119,653,278,41942,21968,284,38432,22235,1897,11955,9136,3120,107563,51379
4341,7004,46205,40495,5603,50171,46151,840,-2403,-1826,7004,48570,42609,7004,2238,614,613,66307,29627,602,51316,20010,5069,12014,8938,8318,80361,38073
4342,1282,43007,37354,997,45634,42935,166,-649,-1000,1282,45143,39316,1282,1958,536,110,61589,26534,106,51289,14228,903,11133,7796,1484,82130,35175
4343,6652,39674,32993,5509,40567,35585,675,-1824,-756,6652,41572,34538,6652,1685,339,451,75669,29719,438,65432,23463,4364,10559,7033,7827,77560,17229
4344,1386,45357,39542,1081,50295,45538,196,-2759,-1608,1386,47551,41370,1386,1965,520,142,51618,23028,138,49686,20854,991,12047,8844,1566,86076,39954
4346,488,49082,42970,399,53881,49190,85,-2269,-1257,488,51697,44792,488,2221,870,39,99093,42634,40,70947,17404,356,13295,9990,555,115923,55902
4347,647,44193,37915,488,48911,45034,98,302,1412,647,46111,39613,647,1862,490,70,51243,26966,70,42629,16563,467,11236,7695,745,89575,39510
4350,58492,52115,42855,47177,52936,46793,8055,-2307,-1780,58492,54747,44960,58492,2454,712,4126,79395,24658,4019,55593,12956,43793,14686,9560,67161,127116,44032
4352,16726,53115,43597,13094,56884,49886,2722,-3262,-2435,16726,56154,46144,16726,2535,803,1440,74218,25064,1459,56630,17322,12392,15468,10722,18222,132532,61340
4353,261,34071,28113,167,54776,53356,34,2417,484,261,36654,29761,261,2141,383,43,39935,23540,44,40249,23138,143,11980,9509,243,106499,61656
4354,595,45633,39786,469,50782,46295,64,-3242,-2591,595,48285,42365,595,2207,558,64,41739,24194,64,33788,16934,422,12361,9010,671,101287,48510
4355,1279,36899,30634,844,45668,39398,170,-1073,-946,1279,39166,32308,1279,1798,378,172,43492,22748,176,42417,18796,772,10176,6463,1486,107734,43441
4356,2873,46800,38634,2172,49228,43726,428,-1874,-1052,2873,50281,41546,2873,2869,680,253,70089,23763,252,65227,29054,2007,13499,8329,3061,110494,42943
4357,1493,45039,35936,1100,49018,42086,176,-2237,-1366,1493,48512,38330,1493,2427,522,131,76790,35929,133,64806,27885,993,14367,8094,1688,98420,33819
4358,1239,48178,40398,965,53056,46233,158,-286,-160,1239,51090,43376,1239,2631,736,109,77136,25087,112,66397,19544,920,13320,8697,1329,115994,44672
4359,728,43274,38046,549,50311,44996,82,-1684,-906,728,47643,39889,728,2391,505,92,47346,24110,89,44809,23249,496,11945,8837,778,90200,39106
4360,432,39837,34674,290,47888,45382,75,-172,-934,432,43265,37210,432,2677,501,63,76618,27086,66,72169,31048,281,10949,7668,438,91697,42678
4361,1394,40035,32072,909,46027,43331,188,35,-747,1394,43820,36258,1394,2575,367,179,93119,32636,187,82980,26932,871,11701,8195,1451,99910,40256
4362,1330,38762,31702,900,46008,40486,203,220,-424,1330,42337,34746,1330,2622,492,189,84715,29564,189,81607,27483,831,11544,7093,1438,110779,43103
4363,430,47172,36718,308,49682,43656,62,-3045,-546,430,51210,38186,430,3192,658,59,81331,43482,61,73626,37530,293,14543,8473,449,116435,46700
4364,215,68908,47292,130,47180,44158,36,-10809,-304,215,77803,53681,215,5003,750,12,100099,74184,13,64534,29610,164,23820,13037,218,157387,45786
4365,201,34731,29381,139,44008,40356,16,-1613,-1142,201,36889,30653,201,2023,425,29,50857,29060,33,42496,14135,127,8027,6405,255,87048,27821
4370,9572,42069,36771,7337,45923,42455,1296,-378,-595,9572,44594,38841,9572,2180,562,833,59026,26715,837,49350,20499,6637,10767,7243,11071,99223,38990
4371,428,37036,31570,282,47767,42946,65,-1823,-1056,428,40177,35715,428,2063,484,64,75021,23355,62,67683,22552,269,10086,6364,461,118523,54425
4372,87,36766,37464,59,38929,39856,8,-1535,2858,87,41257,39856,87,1569,450,12,154520,44216,12,125126,25858,60,7846,5635,97,130890,51468
4373,573,39944,32768,414,43043,39773,71,-708,185,573,43072,35513,573,1970,430,72,116688,48746,72,110446,30832,362,11077,6397,661,84014,34962
4374,230,37215,31292,156,48377,43359,27,-3963,-2418,230,40679,33412,230,2283,380,36,49137,33644,36,42428,28856,135,10831,7183,257,96400,34193
4375,144,32144,24330,105,31350,23059,12,3468,1624,144,33392,25998,144,1069,272,24,192799,15254,22,201039,17599,82,9605,5153,176,86451,10458
4376,194,34489,24246,158,34190,24891,22,-3359,-1898,194,36317,24812,194,1584,305,8,48046,6738,8,37627,5199,120,9240,4668,261,59525,5375
4377,361,32787,28031,217,38669,34564,46,532,1188,361,35502,28587,361,2272,300,42,41581,22482,44,32017,17838,214,7792,4732,386,84237,32661
4378,199,34000,28300,157,37900,32517,27,3035,959,199,36853,29251,199,2368,300,16,29781,27439,16,18632,14805,126,8766,4731,225,82345,28055
4380,4615,37214,31019,3465,38245,33272,627,1775,26,4615,39533,32295,4615,1923,380,442,71860,24773,441,59742,18138,2919,9614,5804,5573,97061,27327
4381,306,34785,27922,209,39040,31883,44,-291,-507,306,36630,28918,306,1820,333,38,29916,20598,38,27567,12613,176,9198,5771,353,92700,25814
4382,338,36737,31266,230,36904,34170,52,-1146,-406,338,38588,32720,338,1709,298,40,45450,35508,40,36475,27737,207,9039,6459,373,148352,40981
4383,294,32881,30226,233,35511,37385,29,-261,64,294,34686,33289,294,1686,404,21,46281,30990,20,40595,23504,201,6029,5232,426,52316,11420
4385,623,36498,30521,419,47640,44000,84,1592,2,623,40663,34069,623,2449,309,78,109224,47940,81,108661,35944,369,11454,7785,674,78944,35738
4387,697,37654,31919,551,42152,38048,89,628,-683,697,43257,35449,697,2321,597,81,64880,20576,86,59463,20648,457,9491,6145,790,78660,31791
4388,207,31266,25634,129,37210,30224,27,4715,82,207,36446,29741,207,2752,300,24,59457,28140,25,56648,12991,113,9112,5238,229,64988,23801
4390,4371,51152,41160,3384,47952,44001,606,-953,-726,4371,57596,44583,4371,2931,726,436,81684,28764,409,69705,17358,3267,14367,8988,4770,122607,40221
4400,1054,47834,43047,872,51590,48716,133,-1405,-1742,1054,50174,45154,1054,2269,787,68,59672,24105,71,40811,14749,801,12069,9207,1196,78069,43157
4401,3024,45227,43178,2400,51051,49643,321,-1610,-716,3024,47845,45490,3024,2193,633,203,92061,37106,209,83234,29704,2214,11426,8989,3578,81724,37513
4402,149,35416,23906,85,50690,41442,21,-1320,-797,149,38436,26576,149,2177,300,28,41475,21646,27,32790,13276,76,11735,8035,165,79067,32614
4403,443,44163,38109,282,45512,40750,47,478,0,443,47976,41725,443,2902,417,52,54044,22474,55,43317,8741,311,11790,7615,466,97838,40659
4404,324,52008,40130,208,44172,44128,33,1412,352,324,56926,43072,324,3069,496,35,100835,32145,35,94391,32946,226,16635,9157,323,105863,50336
4405,7925,50372,43346,6347,53513,47654,1189,-2343,-1750,7925,53557,46020,7925,2601,750,565,98604,35166,576,83749,26040,5927,13881,9585,9084,105452,41755
4406,581,40577,30374,360,44758,37555,78,-1270,-778,581,47354,36008,581,2520,370,91,94715,31497,92,87354,28482,356,12374,8027,614,117247,36037
4407,339,45948,37716,236,45832,41872,50,987,8,339,49955,42013,339,2983,485,36,74731,28491,37,65388,25547,241,11935,8641,382,96414,32011
4408,405,37148,30866,256,49759,45318,52,-1806,-559,405,43678,34430,405,2072,310,64,97957,44076,65,89244,37053,238,11379,7552,419,109211,41870
4410,714,42814,33534,430,45238,41777,84,-946,-995,714,47530,36720,714,2981,414,90,109620,38128,86,89064,30403,459,11700,7940,763,107800,44187
4411,176,53491,37750,96,51180,43754,19,-3080,-567,176,58558,43732,176,4432,314,21,97509,26666,21,83051,34124,110,18802,13424,173,181923,50388
4412,144,41204,33246,97,44262,37233,15,2498,1244,144,44882,37846,144,2296,432,12,117937,39567,12,95184,28074,101,10158,5765,137,83293,32494
4413,4117,53805,42084,3150,61020,50849,676,-3977,-2979,4117,57389,45148,4117,2523,708,416,97637,29391,410,87396,25106,2939,16905,11374,4593,100185,41924
4415,1029,46168,39660,757,52217,45966,155,-2587,-3161,1029,49476,43242,1029,2377,647,119,64888,26220,118,60964,24110,729,13230,9463,1191,94904,40472
4416,298,40860,41432,191,51462,47026,41,-654,-1171,298,48515,45696,298,2900,394,51,167823,52217,45,166273,40144,204,12905,8759,312,150679,49629
4417,341,54224,40689,234,46310,42510,57,-1306,0,341,62721,47233,341,2808,558,44,83308,46616,46,67905,35178,252,14794,9584,399,89256,43559
4419,511,41062,34290,283,49815,43821,75,-1606,-1434,511,50768,40511,511,3258,300,113,130042,43311,115,106374,34255,329,11818,7647,516,102496,40735
4420,803,46229,37754,468,43979,39413,103,20,-1073,803,51959,42454,803,2733,330,168,153452,34146,173,128805,22884,555,13122,7900,767,113684,41916
4421,975,41736,35434,675,45959,41475,121,-1237,312,975,45816,38390,975,2061,373,105,89962,38137,108,74338,29404,644,11569,7266,1242,74088,25397
4422,284,48296,32016,164,42289,36247,29,1260,411,284,57547,38532,284,3571,300,36,261334,42432,34,241543,37690,178,17076,8667,296,114405,38620
4424,120,29586,22677,69,39833,31421,18,485,397,120,34396,29875,120,2299,300,23,188476,37506,23,174290,36964,58,10338,7998,105,142406,46750
4425,147,30920,28397,83,43020,40355,23,-2831,-1058,147,39450,31675,147,1145,235,27,90338,59089,26,92945,55606,86,7800,5439,147,73921,43635
4427,167,33284,31716,96,47273,38222,19,-8803,-4811,167,38695,33828,167,2023,300,33,93011,41857,36,56835,18512,114,10481,6234,195,102500,43302
4428,405,42159,33125,240,47840,39960,60,-842,-906,405,49885,35974,405,2584,335,88,113586,36000,88,94623,32124,266,12315,7420,429,106363,46550
4454,481,41355,34017,270,44273,40572,53,-1818,-1047,481,47311,37134,481,2533,300,104,108196,34924,102,103673,25866,293,13405,8190,482,114129,36576
4455,5045,52963,45688,4000,56901,51398,765,-3398,-3270,5045,57725,49400,5045,2841,723,570,97108,35493,559,89570,28978,3830,15012,10900,5813,107453,44355
4465,794,39991,31409,517,48381,41599,104,-2666,-1846,794,48136,36736,794,2246,328,143,82386,32085,134,69346,28301,488,12854,7934,875,90142,33652
4468,211,35100,24727,112,34612,26140,29,-3125,-517,211,42202,29729,211,2551,180,44,87299,33049,39,81826,16884,108,12887,6578,218,59673,26073
4470,1948,46677,42321,1601,48971,45744,326,-2090,-1229,1948,49835,44707,1948,2199,694,217,103260,27023,223,81384,13496,1461,11701,8661,2341,87060,36247
4472,780,40829,37272,526,45069,43007,109,-1577,-435,780,47182,40707,780,3597,338,151,84569,29233,150,70788,18654,537,11151,7710,909,124100,42191
4477,315,48278,34502,200,39724,35093,44,-2396,-2496,315,55153,37949,315,2316,325,51,154357,56258,53,115137,41082,214,16218,6429,322,76713,39564
4478,274,49539,36634,178,42500,41440,48,-1195,-844,274,55877,39316,274,2551,300,53,99705,43660,53,83753,27714,179,16521,8801,312,98499,50440
4480,490,43797,39204,372,48809,45997,102,-3417,-1956,490,47029,41813,490,2310,549,81,87370,28659,80,74461,24963,354,11067,8518,574,83042,46050
4481,75,44987,36875,62,50464,45860,10,-3174,-1204,75,57768,43824,75,3056,583,14,142784,18182,16,120004,17590,54,11125,6541,90,70618,32756
4486,405,36075,34926,272,42039,37000,32,-1720,-196,405,40586,39144,405,2754,384,77,94329,26070,77,85549,17073,259,13533,8711,447,73163,25942
4487,1882,46848,39758,1465,47009,42556,256,-1576,-868,1882,53222,43926,1882,2804,578,212,126578,41811,208,108986,26986,1387,12548,8750,2184,96880,33282
4488,142,40568,28940,96,36552,32266,18,-630,1958,142,45415,32738,142,3655,562,31,68432,33052,32,49676,21511,89,10822,5240,153,72117,35402
4490,689,39676,36843,464,46212,43528,109,-383,-685,689,44529,40983,689,1985,482,91,109809,38301,91,94789,18337,466,10459,8144,876,77863,26355
4492,144,53446,55722,114,59189,63826,25,-1450,-426,144,57216,61757,144,3482,1068,24,109165,35073,21,103582,16644,116,13031,12648,163,105355,73731
